1851	127
1852	171
1853	146
1854	134
1855	134
1857	142
1859	176
1860	145
1862	119
1863	110
1864	153
1865	167
1866	152
1868	173
1871	143
1873	159
1874	124
1875	131
1876	172
1877	149
1879	157
1880	180
1882	194
1884	168
1885	174
1886	194
1887	182
1888	182
1890	204
1891	195
1893	193
1895	205
1896	201
1897	211
1898	170
1899	223
1901	235
1903	228
1904	251
1905	249
1906	235
1907	264
1909	305
1910	269
1911	281
1912	303
1914	299
1915	323
1916	282
1917	262
1918	222
1919	250
1920	282
1921	259
1922	309
1923	319
1925	309
1926	338
1927	322
1928	341
1929	372
1930	377
1931	304
1932	334
1934	352
1936	401
1937	346
1938	394
1939	389
1940	416
1941	453
1942	344
1943	282
1944	277
1945	277
1947	382
1948	371
1949	367
1950	403
1951	361
1952	340
1953	429
1954	394
1956	473
1958	445
1959	464
1961	557
1962	538
1963	553
1964	606
1965	633
1966	670
1967	641
1969	766
1970	724
1972	858
1973	851
1974	845
1975	1054
1976	904
1977	833
1978	822
1980	860
1981	865
1983	947
1984	930
1985	995
1986	981
1987	1003
1988	1024
1989	990
1990	967
1991	1000
1992	1037
1994	1443
1995	1421
1996	1530
1997	961
1998	977
1999	922
2000	954
2001	1002
2002	854
2003	837
2005	740
2006	376
2007	542
2008	876
2009	764
2010	804
2011	705
2012	473
2013	32
